id_number	mz	rtime	12C_Ecoli_20220321_004	12C_Ecoli_20220321_004_20220322095030	12C_Ecoli_20220321_004_20220322130235	13C_Ecoli_20220321_004	13C_Ecoli_20220321_004_20220322132355	13C_Ecoli_20220321_004_20220322101150
F1	61.9278	40.94	42543	0	0	43369	60144	57714
F2	95.9735	125.06	2079328	984349	1314348	1707804	1299125	1159692
F3	115.9802	11.42	3362695	3228128	4076328	3201740	3942341	3326312
F4	115.986	5.83	2035714	1739145	1978764	1977817	2040421	1642861
F5	115.986	27.96	182603	219669	248607	199092	185630	185255
F6	65.026	127.33	514697	1040139	684393	538232	685752	605475
F7	65.026	149.55	1529017	1701216	1946683	1439925	1956059	1718200
F8	133.0649	42.17	146425	0	0	110530	47160	50118
F9	133.0649	47.06	104496	9549	8416	83786	51725	59378
F10	133.0649	124.81	349982	419976	490718	152183	252490	165851
F11	115.988	19.63	510552	451142	549764	442653	549216	506535
F12	115.988	23.93	510552	451142	549764	442653	549216	506535
F13	115.988	27.96	255831	260941	334850	298977	249101	280308
F14	115.988	63.51	1097372	0	0	1191345	933379	1160881
F15	66.0338	124.81	10371418	9678725	11730615	10151834	11824735	11155588
F16	116.0447	30.54	0	0	0	507982	1009482	989356
F17	116.0447	50.73	0	0	0	92450	416840	301435
F18	67.0291	127.07	2308560	2990651	2614771	2666299	2613019	2474173
F19	67.0291	153.12	2331814	1504432	2707887	2064474	2728885	2542980
F20	96.0891	45.35	280508	9618	6680	243942	98456	144137
F21	96.0891	65.49	1016550	18381	22551	1002501	453453	618218
F22	67.0542	66.21	6311614	4628683	3843192	5655090	3656597	4260771
F23	133.086	73.41	6529206	4442636	4104796	6174831	4079251	4588839
F24	96.9253	21.78	169036	0	0	137698	0	80267
F25	96.9412	70.28	244111	117162	4230	327699	194674	248485
F26	133.1053	30.54	1022194	680431	1541911	7974	17291	30141
F27	133.1248	24.82	360430	51330	465100	21705248	24367327	23419876
F28	133.9271	35.69	79532	0	0	88149	192057	147610
F29	133.9271	125.55	2422106	2209282	3624117	2152273	3791420	2630044
F30	96.9609	71.25	9654560	6300127	5893011	9061825	6351668	6253716
