id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	13C_Ecoli_QRESS_Qstd_20220321_001	12C_Ecoli_QRESS_20220321_001	13C_Ecoli_QRESS_20220321_001	Qstd_20220321_001
F1	60.0808	117.7	114.8	120.83	2	742979	1.0	0.86	17	4	250346	257398	111694	131570
F2	60.0808	170.13	167.62	172.17	2	1247672	1.0	0.95	30	2	596510	0	0	651162
F3	62.0511	124.69	122.9	126.29	3	603662	1.0	0.91	14	2	342728	0	260934	0
F4	117.0659	152.24	150.11	156.31	466	4892550	1.0	0.97	28	4	3874855	319859	387431	314044
F5	117.0659	158.87	156.31	165.17	466	2352153	1.0	0.83	9	4	705043	578869	564817	503424
F6	117.0659	148.54	141.89	151.18	466	6287797	0.57	0.88	30	4	5630973	321067	237998	97759
F7	117.07	14.4	12.86	15.3	467	571962	0.67	0.95	27	3	224263	38037	0	309662
F8	117.07	16.45	14.4	22.51	467	877133	0.83	0.75	9	4	374953	57990	123602	325977
F9	117.07	19.67	17.66	26.38	467	232504	0.83	0.88	6	4	48669	2096	123602	71052
F10	117.0741	138.52	132.45	144.5	468	3424103	0.57	0.82	12	4	1171865	998376	122871	1146127
F11	117.0851	68.92	63.39	69.8	469	14676009998	0.79	0.53	11	4	5276842632	3021673744	6373203856	4289766
F12	166.1089	172.17	169.25	178.28	1373	9856192	1.0	0.93	42	2	4488594	0	5367598	0
F13	117.1023	20.37	14.4	22.78	472	1565414	1.0	0.81	10	4	239918	1140454	46843	140625
F14	117.1023	234.87	230.59	240.92	472	1662137	0.73	0.73	7	4	151626	1265506	138390	224402
F15	117.1206	84.37	78.99	87.57	478	16636298	1.0	0.98	47	2	16373533	0	262765	0
F16	117.1206	226.04	223.13	232.35	478	4546868	0.78	0.87	8	1	4546868	0	0	0
F17	166.9509	129.21	126.05	129.44	1376	5475477	1.0	0.91	235	4	2615471	193696	175183	2986711
F18	166.9509	129.89	126.05	134.88	1376	12474717	1.0	0.92	300	4	6322790	193696	329775	5362315
F19	118.0612	156.31	151.97	162.21	485	22393509	1.0	0.98	536	4	12244201	553443	597655	8998210
F20	118.0652	109.92	105.83	114.34	486	8353044	1.0	0.83	13	4	3532003	354463	216486	4292541
F21	118.0821	68.92	63.39	69.14	487	145724979	0.69	0.52	8	3	52753083	30181514	62790382	0
F22	118.0863	127.81	124.03	133.8	488	607284633	1.0	0.69	194	3	156631099	0	205108592	111884993
F23	118.0863	131.24	129.44	137.2	488	349488591	1.0	0.95	189	4	91220286	85587827	104115994	81677431
F24	167.0316	147.77	144.78	151.18	1379	4043106	1.0	1.0	456921	2	1860165	0	0	2182941
F25	118.0958	126.05	124.47	127.55	490	2577162	1.0	0.94	71	2	1890912	0	686250	0
F26	118.0958	170.36	165.66	174.58	490	5717952	1.0	0.99	97	2	2068610	0	3649342	0
F27	118.1048	124.25	121.62	127.55	491	8869748	1.0	0.99	136	2	4538126	0	4331622	0
F28	167.0341	13.94	12.31	17.4	1380	4845568	1.0	0.92	191	3	2041464	37981	0	2766123
F29	167.0389	184.07	181.42	189.95	1381	12738725	1.0	0.78	69	3	4135380	79395	8523950	0
F30	167.0486	212.62	192.47	299.87	1382	45650048	1.0	0.65	6	4	10208668	7021821	6233313	25133717
F31	167.0486	233.88	218.72	299.87	1382	33936291	1.0	0.85	6	4	7437682	7017020	6230688	15782815
F32	167.0671	126.29	125.13	127.81	1383	416796	1.0	0.96	14	2	125685	0	291111	0
F33	167.0671	135.88	131.01	141.41	1383	545508	0.57	0.79	7	2	137379	0	420306	0
F34	118.9716	146.43	141.18	151.97	495	521616	1.0	0.47	6	2	285555	0	0	242910
F35	144.0809	109.92	104.22	115.76	928	5649918	1.0	0.88	83	3	2338800	27053	0	3291229
F36	119.0492	17.16	14.85	19.42	497	371294	1.0	0.62	15	3	70421	257314	0	43559
F37	119.0492	131.24	130.1	135.64	497	902886	1.0	0.79	22	2	257868	0	0	411210
F38	144.0833	16.68	15.74	19.67	929	1300077	1.0	0.88	83	1	1300077	0	0	0
F39	144.0833	21.95	20.87	24.17	929	688848	1.0	0.96	65	1	0	0	736348	0
F40	144.102	127.29	123.58	130.55	930	32366436	1.0	0.99	35	4	15876233	481430	275282	15749678
F41	68.0495	152.24	148.79	154.68	14	1992529	1.0	0.93	11	4	910864	107865	94412	883897
F42	167.0898	109.92	103.66	114.34	1387	12876667	1.0	0.93	93	3	6185584	37033	0	6372724
F43	167.0898	110.38	110.15	116.02	1387	7706877	1.0	0.88	89	3	3316006	1061294	0	4010335
F44	167.0929	35.65	34.0	41.57	1388	1488759	0.91	0.96	7	4	591228	350631	153502	431733
F45	167.0929	121.62	118.39	125.13	1388	2152959	1.0	0.98	16	4	1162168	104522	862529	83072
F46	69.0335	15.52	14.17	16.45	15	269386	0.94	0.91	11	3	120056	71403	0	77927
F47	69.0335	164.93	162.21	168.34	15	964370	0.95	0.93	17	4	173674	570312	131085	94286
F48	69.0335	197.49	196.23	199.44	15	899840	1.0	0.81	19	4	2732	932002	2949	7344
F49	69.0699	119.08	113.42	124.69	17	4154777	1.0	0.94	31	3	2058485	64939	0	1646293
F50	144.9276	134.61	132.19	135.64	935	441264	1.0	0.85	8	3	82902	0	197839	107715
F51	167.1123	172.4	168.11	178.53	1391	266899816	1.0	0.95	602	2	122567532	0	144332284	0
F52	119.0645	156.55	153.97	158.59	500	620729	1.0	0.96	25	2	358454	0	0	262275
F53	119.0685	109.23	108.07	113.89	501	473056	1.0	0.63	15	2	150915	0	0	327261
F54	119.0718	174.58	170.58	179.5	502	1370869	1.0	0.9	40	2	587905	0	782964	0
F55	119.0725	148.79	145.88	154.21	503	1219492	1.0	0.57	13	1	1219492	0	0	0
F56	119.0725	151.44	150.11	154.21	503	526144	1.0	0.9	7	1	526144	0	0	0
F57	119.0834	128.05	126.05	133.8	504	1890105	1.0	0.38	29	3	469938	0	681936	288568
F58	119.0834	131.01	129.66	134.88	504	955062	1.0	0.92	28	4	222114	228902	308897	201057
F59	119.0856	15.3	12.58	18.41	505	46569457	0.67	0.98	247	4	20943853	8487075	20383	17120367
F60	119.0897	127.81	123.58	129.66	506	15625691	1.0	0.96	216	3	4031217	0	5949315	1853610
F61	119.0897	131.24	125.36	135.64	506	32042437	1.0	0.66	224	4	8336518	33353	10789222	5891195
F62	119.0916	68.7	63.16	74.18	507	10571292	1.0	0.66	8	3	3191876	3318902	4363660	0
F63	119.1	170.13	166.87	176.09	508	10160658	1.0	0.99	222	2	3779034	0	6381624	0
F64	119.1081	124.25	121.09	129.21	509	61559404	1.0	1.0	737	2	31680872	0	29878532	0
F65	120.0033	154.91	152.72	158.34	512	667169	1.0	0.86	23	2	303210	0	0	363959
F66	120.0033	160.95	158.34	164.45	512	1176136	1.0	0.81	36	2	408123	0	0	768013
F67	120.0033	162.46	162.21	168.34	512	425021	1.0	0.81	24	2	121811	0	0	344439
F68	70.0642	200.16	199.92	202.12	20	175018	0.67	0.53	8	1	0	175018	0	0
F69	145.0496	148.03	143.4	151.97	938	3901129	1.0	1.0	64	3	1780419	24693	0	2096017
F70	145.0542	121.09	119.31	123.13	939	423559	1.0	0.96	15	2	186989	0	236570	0
F71	70.0651	171.94	166.14	174.82	21	45623839	0.68	0.88	9	4	11277795	18702624	2089369	13554051
F72	71.0371	99.5	95.93	105.83	22	710644	1.0	0.88	14	2	331800	0	0	378844
