id_number	mz	rtime	neg-12C14N-3-0ev	neg-12C14N-1-0ev	neg-12C14N-2-0ev
F2	70.0641	145.3	340642	262761	391768
F3	70.4391	145.86	1736004	1722369	1820536
F4	70.946	406.66	12973652	13922537	12721081
F5	71.0114	190.74	3281135	3395427	3332989
F6	71.0121	146.42	206921	0	109346
F8	72.0172	718.37	641677	663123	619906
F10551	72.6776	146.98	0	0	304451
F14	72.9431	397.91	11269101	12258109	11032684
F26	73.0493	798.62	73681	65405	60887
F8012	74.0045	799.77	437860	400121	402409
F35	74.0246	800.34	173677875	146457880	163595643
F36	74.045	799.77	410934	443868	426695
F47	74.94	393.82	1927208	2005505	1907427
F54	74.9618	355.8	29850368	29306460	30511175
F58	74.988	202.32	12057921	12583422	14221673
F91	75.0021	208.68	417267	800067	591370
F92	75.0087	184.4	2703366154	2715565999	2807612898
F8037	75.0159	202.32	978600	0	1180760
F8046	75.0182	202.32	983655	887257	1004787
F97	75.028	799.2	1822862	1760243	1735576
F98	75.0294	184.4	17229174	18664443	19026105
F123	76.012	184.4	67217527	67536019	69155194
F126	76.0128	204.05	1202247	1340124	0
F128	76.0289	799.2	116304	148216	107215
F146	76.9589	361.66	9862916	9657993	9801341
F147	76.9589	386.23	4024806	3947643	4084035
F206	77.0129	184.4	21216769	21532958	21798570
F8062	77.0394	252.69	894242	1035781	643730
F8061	77.0394	230.22	25364	11021	5965
F221	78.9571	814.54	63673	49180	34736
F249	78.959	821.94	5460015	4625311	5116088
F8069	79.9552	830.57	26861	107476	29999
F258	79.9573	831.13	4042190	4244272	3944328
F281	80.0254	1180.89	2455721	2035985	2426960
F291	80.9651	180.96	75437059	92408679	79196629
F336	81.0457	1182.07	1573870	1283834	1596598
F339	82.9541	143.62	2540439	3148597	2694025
F362	83.0365	267.1	535564	480728	589656
F412	84.0454	803.18	1054999	1204904	939855
F410	84.0454	431.49	521388	573119	556467
F445	84.9511	142.48	240994	378459	290323
F447	84.9906	510.1	34295007	33075609	33041219
F448	85.0043	1190.39	13573483	11880707	12959445
F472	85.0406	1188.01	744866	523794	649596
F481	85.0544	352.88	1983152	2206910	2060354
F480	85.0544	255.52	63056	58768	60622
F488	85.0658	425.18	11987712	9581322	10639955
F487	85.0658	246.46	2025604	2267719	2070026
F501	86.0611	677.93	148554	131841	119140
F502	86.0692	424.61	176440	209324	208548
F517	86.9829	303.77	9312984	11047879	10097822
