id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F318	266.1369	802.36	0	0	0	365269188	395784949	421662024
F9784	660.5213	148.57	24797150	18249233	26589374	147377353	143795706	140348611
F3855	347.29	148.57	61575237	65126646	59971096	175691800	178950860	173975646
F8058	521.4241	146.83	118135504	126079496	122388627	105667512	110186718	105304162
F7405	516.2913	168.67	0	88379663	91503625	102755243	100981523	103793187
F8615	393.2855	146.83	151535166	153600162	153575907	197891031	196490652	186875536
F7615	432.3683	145.95	79731516	77335953	78081890	69117612	70451859	68999413
F6242	501.3829	162.88	217624106	219134284	225291981	250475490	242186979	237454659
F7724	474.3789	146.83	123943225	130682905	124579670	116746580	115046780	106093293
F11344	565.45	148.57	130948137	139618391	137841158	126195105	125474975	123475769
F7897	476.3945	145.95	240972228	250325880	251586223	213680910	221028848	212294868
F3249	304.0928	805.42	0	0	0	117153954	87823883	56679386
F9287	650.4825	153.86	115845987	120620093	119309839	145701862	147912983	148032225
F3676	258.1103	782.14	469701112	530689887	524186461	984146	1417843	1597177
F10460	607.4598	152.07	86834978	90461242	93135393	104934685	97861033	95633553
F10589	609.4756	151.18	127170035	126734499	132509829	135769812	133723291	129422658
F9401	653.502	152.96	76032582	83987787	81955036	91207094	92238607	91547058
F11174	563.4344	149.44	79564807	77649994	76013587	81599903	76630806	73767251
F10918	559.4242	160.81	169870561	172515732	175616945	195606716	193077063	189597423
F7322	515.2891	168.67	460038546	462966822	473785832	533575966	522225398	538326801
F6855	425.3108	164.92	59122388	60109819	62608041	69171371	66481690	68426968
F4385	441.3246	158.76	51706191	54263916	51845306	55071234	54205461	54358881
F7847	519.4079	147.7	65455300	70460361	73107296	62624917	66146990	63748867
F7930	477.3977	145.95	64396412	69856750	69395776	53964167	54609718	53431395
F10426	606.4575	152.07	200833200	207123121	204561596	238859090	228688813	226664229
F9665	816.4212	152.07	132484128	135227954	130561149	144664181	135632043	131094273
F11151	694.5082	155.75	39428615	42730873	41516868	55103340	57474345	56732405
F11246	564.4467	148.57	418996611	432141265	427446238	412847688	420921849	392134233
F8580	530.3118	143.05	69865146	69097981	69217899	66568495	65411911	63828643
F11217	696.5243	154.79	83227377	86223111	85675700	105755694	107058930	110892268
F1886	288.1189	802.36	0	0	0	48824188	60234673	75285745
F5823	368.2719	166.85	37530372	39446748	39971648	43105281	40815150	40921529
F9265	762.41	168.67	61490435	60336902	60688581	72204490	72551688	71333131
F10987	560.4156	150.31	54761904	59077533	61612859	59551027	61471065	58629258
F9318	651.4861	153.86	44878710	44048768	48966581	55289161	51115036	52578406
F7482	516.3895	148.57	58564128	62485925	61649925	54359590	57350800	54933726
F7261	514.2859	168.67	1842321355	1857371099	1913437623	2141729714	2106960075	2170143279
F3971	397.237	146.83	96247212	97025508	102727665	89406612	88052862	83778318
F4730	444.344	164.92	29337417	29693448	31773949	34843586	32735106	34216383
F4639	443.3407	164.92	221899884	227813815	235660201	254898037	246369514	253897726
F11626	628.1945	139.87	28765865	42066679	49010392	39652637	52576911	60558888
F7947	520.4208	146.83	396603291	407498525	413220365	362415751	376555236	358586119
F9380	652.4987	152.96	210482893	220748482	222398241	252784043	244527040	249286421
F10565	608.4729	151.18	368053565	377572251	368242614	398757713	403212929	379230891
F11226	697.5276	154.79	31075315	32840189	34075367	41200107	41276096	41365933
F10749	556.4054	154.79	93078686	94806586	97804974	103153716	106167966	105623176
F7628	385.2988	166.85	129784633	133043360	133973717	144573904	140143934	143461580
F4818	483.3831	140.93	43786657	34436060	41852736	59942862	47204553	42027553
F11132	562.431	149.44	245364413	251785656	253384158	250484709	255540705	245714100
F7771	518.4051	147.7	234087050	242058074	248075290	246977053	254931643	243924829
F6170	500.3795	162.88	818530420	824648617	854448498	937552859	901858373	903309835
F9506	791.5908	155.75	40182961	41312642	40745212	44283061	43918179	44390895
F873	209.1349	794.19	0	0	0	63763010	71671964	76847229
F10875	558.4209	160.81	567357589	573809216	582961642	648581752	640485852	629436968
F1989	288.3122	160.81	0	0	0	63027138	59590903	55290830
F9921	600.4313	151.18	45963186	47485137	44239270	50469515	49797432	50029053
F6424	421.317	145.95	24293566	27091398	30603843	33155409	34721197	35248474
F11326	702.2129	138.82	16313311	29782728	36900541	25761992	34812383	41420144
F10212	906.671	153.86	33232207	33238790	33698620	39321878	40258935	37252906
F10992	560.427	160.81	28714605	27005183	30174710	34149606	34148462	32744477
F11529	569.2991	151.18	2648718758	2727510676	2655559276	2934370900	2849363171	2746487247
F6829	376.2592	146.83	60570682	63834025	64035963	76781471	80973151	77615901
F3701	394.2887	146.83	29007202	26809773	26592669	37994452	42327953	40635270
F10207	604.4419	152.96	49970730	50587689	50023856	58714282	58765791	57318841
F9670	817.4246	152.96	51231057	51994822	50287956	39853865	54844624	53080410
F11590	570.3014	151.18	551110124	561794650	557062179	619655102	593510583	576844131
F11726	571.3038	151.18	76009391	76180864	76605056	83804569	80826335	79001954
F10672	611.5344	148.57	73978547	72149550	78556848	84899662	87333906	78847836
F7198	380.3519	151.18	27850386	30922675	24292203	24802344	24558225	18650862
F9668	542.3173	167.76	59153427	65364700	68647928	69821913	72523002	76641280
F8916	740.5509	156.73	24180650	23989355	24695293	34723427	36813341	35327367
F11321	622.3061	147.7	229792174	231305192	226949311	239205735	236513067	224262382
F9625	658.472	150.31	29942985	32640519	33069857	34623092	34211770	33578134
F10653	555.1761	140.93	11082340	16619007	20312645	17793720	24110880	27350203
F8903	588.3533	144.07	38169664	43087756	42409330	41380719	44257543	42742761
